Deathrate/Population(Crude Deathrate),Population,Total_deaths_June 20,Population_density,Area (sq. mi.),Net migration,GDP_per_capita,GNP per Capita,Literacy (%),Total_tests_June20,Total_cases-June20,Climate,Birthrate,Industry,Agriculture,CVD_death_rate,median_age,aged_65_older,aged_70_older,extreme_poverty,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k,Political_stability,Physical Integrity Rights Index,Disappearance,Extrajudicial Killing,Political Imprisonment,Torture,Freedom of Religion (New),Independence of Judiciary,Inflation,Migration,Control of Corruption: Percentile Rank,Government Effectiveness: Percentile Rank,Political Stability and Absence of Violence/Terrorism: Percentile Rank,Regulatory Quality: Percentile Rank,Rule of Law: Percentile Rank,Voice and Accountability: Percentile Rank
0.350949758,3989175,14,65.032,69700,-4.7,9745.079,3790,99,20579,896,3,10.41,0.275,0.172,496.218,38.7,14.864,10.244,4.2,7.11,5.3,55.5,0,2.6,19.52381,4,2,1,1,0,0,1,6.485833026,-50000,76.44231,74.03846,30,83.17308,63.94231,56.15763
10.60226992,83783945,8883,237.016,357021,2.18,45229.245,43490,99,2755770,189135,3,8.25,0.296,0.009,156.139,46.6,21.453,15.957,0,8.31,28.2,33.1,0,8,55.23809,7,2,2,1,2,2,2,1.537468922,1850000,95.19231,93.26923,66.66666,94.71154,91.34615,95.07389
0.225276362,31072945,70,126.719,239460,-0.64,4227.63,1490,74.8,129461,13203,2,30.52,0.246,0.366,298.245,21.1,3.385,1.948,12,4.97,0.3,7.7,41.047,0.9,35.71429,4,2,1,1,0,2,1,13.39470133,-100000,52.88462,46.15385,47.14286,50,56.73077,67.98029
1.813287773,10423056,189,83.479,131940,2.35,24574.382,18090,97.5,87052,3237,3,9.68,0.213,0.054,175.695,45.3,20.396,14.524,1.5,4.55,35.3,52,0,4.21,29.52381,6,2,2,2,0,0,1,0.669504795,49996,55.76923,65.86539,50,64.42308,59.13462,75.36946
0,56772,0,0.137,2166086,-8.37,20000,0,0,1362,13,1,15.93,0,0,199.941,0,0,0,0,2.16,0,0,0,0,95.71429,0,0,0,0,0,0,0,0,0,84.13461,76.92308,100,89.90385,94.23077,91.62562
0,112519,0,317.132,344,-13.92,13593.877,9650,98,1406,23,2,22.08,0.18,0.054,243.964,29.4,7.304,5.021,0,10.71,0,0,0,3.7,67.14286,6,2,1,2,1,2,2,2.120219344,-3497,66.82692,43.75,85.2381,40.38462,62.5,65.51724
2.962383652,168783,5,304.128,541,0,21000,0,99,7200,200,2,18.79,0,0,310.496,31.4,9.551,5.493,0,21.52,0,0,0,0,55.23809,0,0,0,0,0,0,0,0,-2532,86.53846,63.46154,67.14286,58.17308,87.98077,0
2.695979424,17915567,483,157.834,108890,-1.67,7423.808,4060,70.6,0,12509,2,29.88,0.188,0.227,155.898,22.9,4.694,3.016,8.7,10.18,0,0,76.665,0.6,16.19048,5,2,1,2,0,2,0,3.619188154,-46073,22.11539,23.55769,27.14286,45.67308,13.46154,35.46798
19.38793772,67052,13,0,78,3.84,20000,0,0,1500,252,3,8.81,0.1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.205592231,13132792,27,51.755,245857,-3.06,1998.926,800,35.9,714,4904,2,41.76,0.362,0.237,336.717,19,3.135,1.733,35.3,2.42,0,0,17.45,0.3,14.28571,4,2,1,1,0,1,0,16.72593466,-50000,13.94231,16.34615,16.66667,21.63461,9.134615,26.10837
0.762195897,1967998,15,66.191,36120,-1.57,1548.675,660,42.4,1037,1512,2,37.22,0.12,0.62,382.474,19.4,3.002,1.565,67.1,2.42,0,0,6.403,0,13.80952,6,2,1,2,1,2,0,5.946002134,-9995,3.365385,7.211538,21.90476,9.615385,8.653846,29.06404
1.525632534,786559,12,3.952,214970,-2.07,7435.047,4460,98.8,5653,183,2,18.28,0.203,0.37,373.159,26.3,5.305,2.837,0,11.62,0,0,77.159,1.6,31.42857,6,2,1,2,1,2,1,1.916721497,-24552,46.63462,41.82692,40.95238,32.21154,41.82692,56.65025
0.762988364,11402533,87,398.448,27750,-3.4,1653.173,760,52.9,154989,4980,2,36.44,0.2,0.28,430.548,24.3,4.8,2.954,23.5,6.65,2.9,23.1,22.863,0.7,13.33333,4,1,1,2,0,1,0,13.36181049,-175000,9.615385,1.442308,23.33333,8.653846,15.86539,26.60098
3.523612444,9904608,349,82.805,112090,-1.99,4541.795,2250,76.2,86743,11258,2,28.24,0.312,0.139,240.208,24.9,4.652,2.883,16,7.21,2,0,84.169,0.7,16.19048,3,1,1,1,0,2,0,4.211120495,-14001,29.32692,27.88461,26.66667,34.61538,16.34615,31.52709
0,7496988,0,0,1092,5.24,28800,0,93.5,51663,0,2,7.29,0.092,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.30769,98.07692,74.7619,100,95.19231,62.06897
5.900407335,9660350,570,108.043,93030,0.86,26777.561,12870,99.4,1357413,4086,3,9.72,0.312,0.037,278.296,43.4,18.577,11.976,0.5,7.55,26.8,34.8,0,7.02,63.80952,6,2,2,2,0,2,2,3.665601803,29999,59.61538,70.19231,73.33334,73.07692,72.11539,58.62069
2.93040293,341250,10,3.404,103000,2.38,46482.958,60830,99.9,128383,1819,3,13.64,0.15,0.086,117.992,37.3,14.431,9.207,0.2,5.31,14.3,15.2,0,2.91,84.7619,8,2,2,2,2,2,2,0.481958379,1900,93.75,91.34615,96.66666,90.38461,93.26923,94.58128
0.938257888,1380004385,12948,450.419,3287590,-0.07,6426.674,1820,59.5,531275,395048,2.5,22.01,0.276,0.186,282.28,28.2,5.989,3.414,21.2,10.39,1.9,20.6,59.55,0.53,11.42857,0,0,0,0,0,0,0,2.997597738,-2449998,49.51923,63.94231,14.7619,46.63462,55.28846,60.09852
0.867566754,273523621,2373,145.725,1919440,0,11188.744,3540,87.9,117726,43803,2,20.34,0.458,0.134,342.864,29.3,5.319,3.053,5.7,6.32,2.8,76.1,64.204,1.04,16.66667,3,2,1,0,0,0,0,4.244464291,-825000,46.15385,59.13462,27.61905,50.96154,42.78846,52.21675
11.18189046,83992953,9392,49.831,1648000,-0.84,19082.62,0,79.4,214761,200262,1,17,0.424,0.116,270.308,32.4,5.44,3.182,0.2,9.59,0.8,21.1,0,1.5,0,0,0,0,0,0,0,0,0,0,15.86539,37.5,10.95238,7.692307,25,12.80788
2.12816194,40222503,856,88.125,437072,0,15663.986,4770,40.4,3459,25717,1,31.98,0.666,0.073,218.612,20,3.186,1.957,2.5,8.83,0,0,94.576,1.4,0.4761905,3,2,1,0,0,0,0,16.2,39171,7.211538,9.134615,1.428571,9.134615,3.365385,21.18227
34.7118431,4937796,1714,69.874,70280,4.99,67335.293,55290,98,423125,25368,3,14.45,0.46,0.05,126.459,38.7,13.928,8.678,0.2,3.28,23,25.7,0,2.96,69.04762,6,2,2,2,0,2,2,-0.308372846,23497,90.86539,89.90385,86.19048,92.78846,89.90385,92.11823
28.22466836,85032,24,147.872,572,5.36,21000,0,0,2310929,336,3,11.05,0.13,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.512201028,8655541,304,402.606,20770,0.68,33132.32,37270,95.4,11448,20339,3,17.97,0.317,0.026,93.32,30.6,11.733,7.359,0.5,6.74,15.4,35.4,0,2.99,10.95238,2,2,0,0,0,1,2,0.152206125,50002,79.32692,86.05769,15.2381,86.53846,80.76923,69.95074
57.16168555,60461828,34561,205.859,301230,2.07,35220.084,31020,98.6,6095,238011,0,8.72,0.291,0.021,113.151,47.9,23.021,16.24,2,4.78,19.8,27.8,0,3.18,40.95238,6,2,1,2,1,2,1,0.629108923,350000,62.01923,68.26923,57.61905,73.55769,61.53846,81.7734
0.33770538,2961161,10,266.879,10991,-4.92,8193.571,4750,87.9,186343,652,2,20.82,0.337,0.049,206.537,31.4,9.684,6.39,0,11.28,5.3,28.6,66.425,1.7,41.42857,5,2,0,2,1,2,1,6.954563136,-93000,50,70.67308,62.85714,62.98077,46.15385,68.96552
0.752709251,126476458,952,347.778,377835,0,39002.223,38550,99,97110,17799,3,9.37,0.258,0.017,79.37,48.2,27.049,18.493,0,5.72,11.2,33.7,0,13.05,72.38095,6,2,2,2,0,1,2,-0.215152805,250000,89.42308,94.23077,88.09524,87.98077,90.38461,80.29556
30.67090123,101073,31,0,116,2.76,24800,0,0,353843,318,3,9.3,0.02,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.69231,87.5,93.33334,75.48077,94.23077,91.62562
0.08820814,10203140,9,109.285,92300,6.59,8337.49,3980,91.3,25861,1008,1,21.25,0.287,0.033,208.257,23.2,3.81,2.361,0.1,11.75,0,0,0,1.4,16.66667,3,1,1,1,0,0,1,1.654327085,0,60.57692,57.21154,31.42857,58.65385,60.57692,28.07882
0.601809465,18776707,113,6.681,2717300,-3.35,24055.588,7890,98.4,196397,16779,4,16,0.386,0.067,466.792,30.6,6.991,4.625,0.1,7.11,7,43.1,98.999,6.7,32.85714,2,0,1,1,0,0,0,6.380392334,0,36.05769,54.32692,45.71429,60.09615,35.57692,15.76355
0.221307649,53771300,119,87.324,582650,-0.1,2993.028,1440,85.1,59490,4374,1.5,39.72,0.188,0.163,218.637,20,2.686,1.528,36.8,2.92,1.2,20.4,24.651,1.4,8.571428,4,2,1,1,0,0,0,2.701080066,-50000,19.23077,38.94231,12.38095,43.75,37.98077,34.97537
0,119446,0,0,811,0,800,2780,0,2505,0,2,30.65,0.242,0.089,0,0,0,0,0,0,0,0,0,0,62.38095,8,2,2,2,2,2,2,1.642459979,-2126,64.90385,41.34615,86.66666,22.11539,69.71154,87.68473
1.707390517,1932774,33,0,0,0,9795.834,3890,0,0,1486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.23809,7,2,2,2,1,1,1,-0.251153751,0,35.57692,37.98077,24.28572,41.34615,40.38462,39.90148
7.329244411,4270563,313,232.128,17820,14.18,65530.537,31430,83.5,0,38678,1,21.94,0.479,0.004,132.235,33.7,2.345,1.114,0,15.84,2.7,37,0,2,31.42857,5,2,1,1,1,1,1,11.94655227,100000,45.19231,49.51923,52.38095,54.32692,60.09615,30.54187
0.536464981,6524191,35,32.333,198500,-2.45,3393.474,0,97,2338,2981,2.5,22.8,0.208,0.353,436.362,26.3,4.489,2.882,1.4,7.11,3.6,50.5,89.22,4.5,0,2,0,1,1,0,0,1,0,0,16.34615,28.84615,25.23809,37.98077,17.78846,33.99015
0,7275556,0,29.715,236800,0,6397.36,0,66.4,900,19,2,35.49,0.287,0.455,368.111,24.4,4.029,2.322,22.7,4,7.3,51.2,49.839,1.5,0,5,2,2,1,0,0,1,0,0,15.38461,24.51923,60,20.67308,18.75,4.433497
1.59049773,1886202,30,31.212,64589,-2.23,25063.846,14740,99.8,156493,1110,3,9.24,0.261,0.04,350.06,43.9,19.754,14.136,0.7,4.91,25.6,51,0,5.57,50.47619,6,2,2,1,1,2,1,3.058498607,-50000,64.42308,79.80769,60.95238,85.57692,79.32692,74.87685
0.468834106,6825442,32,594.561,10400,0,13367.565,8310,87.4,50533,1510,0,18.52,0.21,0.12,266.591,31.1,8.514,5.43,0,12.71,26.9,40.7,0,2.9,5.238095,3,1,1,1,0,1,0,2.457163488,-150000,12.01923,25.96154,7.142857,38.46154,23.55769,32.0197
0,2142252,0,73.562,30355,-0.74,2851.153,1280,84.8,0,4,3,24.75,0.443,0.163,405.126,22.2,4.506,2.647,59.6,3.94,0.4,53.9,2.117,0,23.33333,7,2,2,2,1,2,2,-1.112142211,-19998,53.84615,18.26923,38.57143,33.17308,41.34615,50.73891
0.652473458,5057677,33,49.127,111370,0,752.788,380,57.5,3907,581,2,44.77,0.054,0.769,272.509,19.2,3.057,1.756,38.6,2.42,1.5,18.1,1.188,0.8,18.09524,5,2,1,1,1,2,1,0.252206719,-25000,20.19231,8.653846,40,14.42308,16.82692,43.34975
0.145533144,6871287,10,3.623,1759540,0,17881.509,6540,82.6,961,510,0,26.49,0.499,0.076,341.862,29,4.424,2.816,0,10.43,0,0,0,3.7,0.4761905,0,0,0,0,0,0,0,24.43956581,-9997,2.884615,1.923077,1.904762,1.442308,2.403846,6.896552
2.622125495,38137,1,237.012,160,4.85,25000,0,100,222150,83,4,10.21,0.39,0.06,0,0,0,0,0,7.77,0,0,0,2.397,87.14286,8,2,2,2,2,2,2,0,0,95.67308,95.19231,98.09524,90.86539,92.30769,92.61084
2.7917662,2722291,76,45.135,65200,-0.71,29524.265,15200,99.6,9863,1792,0,8.75,0.325,0.055,342.989,43.5,19.002,13.778,0.7,3.67,21.3,38,0,6.56,63.33333,7,2,2,2,1,1,2,4.254472523,-25000,68.75,80.76923,72.85714,82.69231,79.80769,77.83251
17.57255869,625976,110,231.447,2586,8.97,94277.965,70260,100,2172,4099,0,11.94,0.13,0.01,128.275,39.7,14.312,9.842,0.2,4.42,20.9,26,0,4.51,81.42857,8,2,2,2,2,2,2,2.129662112,25001,97.11539,95.67308,96.19048,95.19231,95.67308,96.55173
0,649342,0,0,28,4.86,19400,0,94.5,38337,0,2,8.48,0.072,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.92308,85.57692,92.85714,93.26923,81.25,42.85714
10.65576131,2083380,222,82.6,25333,-1.45,13111.214,0,0,0,4820,3,12.02,0.319,0.118,322.688,39.1,13.26,8.16,5,10.08,0,0,0,4.28,0,4,2,1,1,0,1,0,0,0,0,0,0,0,0,0
0.046946629,27691019,13,43.951,587040,0,1416.44,400,68.9,1842,1443,2,41.41,0.165,0.276,405.994,19.6,2.929,1.686,77.6,3.94,0,0,50.54,0.2,20.95238,3,2,1,0,0,1,0,8.280734365,-7500,14.90385,11.05769,28.09524,23.55769,21.15385,36.4532
0.041819231,19129955,8,197.519,118480,0,1095.042,320,62.7,55494,620,2,43.13,0.158,0.342,227.349,18.1,2.979,1.783,71.4,3.94,4.4,24.7,8.704,1.3,23.33333,5,2,1,1,1,2,2,13.46150517,-60000,25,22.11539,34.28571,25.48077,39.90385,42.36453
0.373849124,32365998,121,96.254,329750,0,26808.164,9650,88.7,3400,8535,2,22.86,0.48,0.084,260.942,29.9,6.293,3.407,0.1,16.74,1,42.4,0,1.9,39.52381,3,2,1,0,0,0,1,3.819562194,250000,63.94231,81.25,54.28571,74.03846,74.51923,41.37931
1.479996004,540542,8,1454.433,300,0,15183.616,9570,97.2,105664,2150,2,34.81,0.18,0.2,164.905,30.6,4.12,2.875,0,9.19,2.1,55,95.803,0,39.52381,6,2,2,1,1,0,0,0.032873497,9758,17.30769,35.09615,50.47619,33.65385,31.73077,30.04926
0.533311369,20250834,108,15.196,1240000,-0.33,2014.306,770,46.4,20447,1923,2,49.82,0.17,0.45,268.024,16.4,2.519,1.486,0,2.42,1.6,23,52.232,0.1,3.809524,6,2,1,2,1,2,0,1.542536317,-200000,26.92308,15.38461,5.238095,30.76923,21.63461,36.94581
2.03832504,441539,9,1454.037,316,2.07,36513.323,23810,92.8,0,663,0,10.22,0.23,0.03,168.711,42.4,19.426,11.324,0.2,8.83,20.9,30.2,0,4.485,79.04762,7,2,2,1,2,2,2,2.52882974,4501,71.63461,78.84615,93.80952,88.46154,82.21154,83.74384
0,59194,0,0,11854,-6.04,1600,4800,93.7,9093,0,2,33.05,0.149,0.317,0,0,0,0,0,0,0,0,0,0,19.52381,8,2,2,2,2,2,2,0.019512195,0,54.80769,6.25,77.61905,10.09615,52.88462,87.68473
0,375265,0,0,1100,-0.05,14400,0,97.7,7816,0,2,13.74,0.11,0.06,0,0,0,0,0,0,0,0,0,0,65.71429,0,0,0,0,0,0,0,0,0,86.53846,82.69231,84.28571,85.09615,78.84615,0
2.043160145,4649660,95,4.289,1030700,0,3597.633,1100,41.7,36,2223,1,40.99,0.29,0.25,232.347,20.3,3.138,1.792,6,2.42,0,0,15.95,0,13.80952,2,1,1,0,0,0,0,4.199952771,25502,23.07692,22.59615,22.38095,19.71154,26.44231,24.13793
0.786307555,1271767,10,622.962,2040,-0.9,20292.745,10140,85.6,52958,337,2,15.43,0.298,0.059,224.644,37.4,10.945,5.884,0.5,22.02,3.2,40.7,0,3.4,67.14286,7,2,2,2,1,2,2,1.912740183,0,62.98077,77.40385,79.04762,81.73077,76.92308,72.4138
0,272813,0,0,374,6.78,2600,0,0,3041,0,2,40.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.81754793,128932753,20394,66.444,1972550,-4.87,17336.469,8610,92.2,0,170485,1.5,20.69,0.259,0.038,152.783,29.3,6.857,4.321,2.5,13.06,6.9,21.4,87.847,1.38,13.80952,2,0,1,1,0,1,0,6.133853849,-300000,18.75,47.59615,25.71428,60.57692,27.40385,45.81281
0,548927,0,0,702,-20.99,2000,0,89,9980,0,2,24.68,0.152,0.289,0,0,0,0,0,0,0,0,0,0,0,7,2,2,2,1,2,2,0,0,75.48077,48.07692,94.7619,14.90385,53.84615,87.68473
11.15528328,4033963,450,123.655,33843,-0.26,5189.972,2180,99.1,1122,13556,0,15.7,0.233,0.213,408.502,37.6,10.864,6.955,0.2,5.72,5.9,44.6,86.979,5.8,25.23809,5,2,2,1,0,1,0,6.275456651,-14318,25.96154,35.57692,32.85714,51.92308,37.01923,40.8867
12.74080114,39244,5,19347.5,2,7.75,27000,0,99,67066,99,0,9.19,0,0.17,0,0,0,0,0,5.46,0,0,0,13.8,84.7619,8,2,2,2,2,2,2,0,0,0,0,99.52381,0,0,71.42857
0,3278292,0,1.98,1564116,0,11840.846,3290,97.8,243277,204,1,21.59,0.214,0.206,460.043,28.6,4.031,2.421,0.5,4.82,5.5,46.5,71.18,7,63.80952,6,2,2,2,0,1,1,10.58966574,-15001,39.90385,45.67308,74.28571,54.80769,44.71154,57.14286
1.432979547,628062,9,46.28,0,0,16409.288,7350,0,0,355,0,0,0,0,387.305,39.1,14.762,9.395,1,10.08,44,47.9,0,3.861,32.38095,0,0,0,0,0,0,0,2.72240441,-2400,58.17308,58.17308,50.95238,65.86539,57.69231,50.2463
20.0040008,4999,1,0,102,0,3400,0,97,5213,11,2,17.59,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,2,2,1,2,0,0,0,0,0,0,0,0,0
0.577070658,36910558,213,80.08,446550,-0.98,7485.013,2860,51.7,168023,9613,0,21.98,0.357,0.217,419.146,29.6,6.769,4.209,1,7.14,0.8,47.1,0,1.1,18.57143,3,1,1,0,1,0,0,-6.60E-09,-257096,47.59615,46.63462,33.80952,42.78846,49.51923,29.55665
0.012797774,31255435,4,37.728,801590,0,1136.103,420,47.8,0,668,2,35.18,0.348,0.262,329.942,17.7,3.158,1.87,62.9,3.3,5.1,29.1,12.227,0.7,9.523809,5,2,1,2,0,2,0,9.772024759,-25000,24.03846,17.78846,19.04762,24.03846,14.42308,32.51231
0.011027426,54409794,6,81.721,0,0,5591.597,0,0,0,286,0,0,0,0,202.104,29.1,5.732,3.12,6.4,4.61,6.3,35.2,79.287,0.9,0,0,0,0,0,0,0,0,0,0,30.28846,12.5,10.47619,22.59615,15.38461,23.64532
3.474816269,57557,2,119.878,477,9.61,12500,0,97,429458,30,2,19.43,0,0,194.994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2540916,0,3.078,825418,0,9541.808,4600,84,5409,45,1,24.32,0.315,0.097,243.811,22,3.552,2.085,13.4,3.94,9.7,34.2,44.6,0,58.57143,4,2,1,0,1,2,2,6.821714114,-2236,65.38461,56.25,68.09524,51.44231,61.05769,63.05419
0,0,0,0,21,0,5000,10220,0,21208,0,2,24.76,0,0,0,0,0,0,0,0,0,0,0,0,32.38095,8,2,2,2,2,2,2,3.407043974,0,33.65385,50.48077,63.33333,52.88462,25.48077,71.42857
0.075505869,29136808,22,204.43,147181,0,2442.804,790,45.2,17836,8274,0,30.98,0.21,0.38,260.797,25,5.809,3.212,15,7.26,9.5,37.8,47.782,0.3,13.80952,4,2,1,1,0,1,1,7.585506745,-350000,27.40385,16.82692,23.80952,23.07692,33.65385,39.40887
35.48902872,17134873,6081,508.544,41526,2.91,48472.545,46180,99,189657,49426,3,10.9,0.244,0.021,109.361,43.2,18.779,11.881,0,5.29,24.4,27.3,0,3.32,66.19048,8,2,2,2,2,2,2,1.146152349,80000,96.15385,96.63461,78.09524,99.03846,96.15385,97.04433
0,0,0,0,960,-0.41,11400,0,96.7,40459,0,2,14.78,0.15,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,285491,0,15.342,19060,0,15000,0,91,244778,21,2,18.11,0.088,0.15,0,33.4,9.954,6.489,0,23.36,0,0,0,0,0,0,0,0,0,0,0,0,0,5664,0,0,0,0,0,0
0.456220178,4822233,22,18.206,268680,4.05,36085.843,38970,99,34511,1159,3,13.76,0.273,0.043,128.797,37.9,15.322,9.72,0,8.08,14.8,17.2,0,2.61,93.33334,8,2,2,2,2,2,2,3.415912885,74403,99.51923,93.75,99.04762,98.55769,98.07692,99.50739
0.966102775,6624554,64,51.667,129494,-1.22,5321.444,2130,67.5,38014,2014,2,24.51,0.275,0.165,137.016,27.3,5.445,3.519,3.2,11.47,0,0,0,0.9,31.42857,4,2,1,1,0,1,0,4.911494311,-106342,12.98077,19.23077,18.09524,25,14.90385,18.71921
0.276783606,24206636,67,16.955,1267000,-0.67,926,360,17.6,2402,1020,1,50.73,0.17,0.39,238.339,15.1,2.553,1.378,44.5,2.42,0.1,15.4,8.978,0.3,7.619048,5,2,1,1,1,2,1,-0.109841133,-28497,31.25,20.19231,11.42857,27.88461,30.28846,31.03448
