Deathrate/Population(Crude Deathrate),Population,Total_deaths_June 20,Population_density,Area (sq. mi.),Net migration,GDP_per_capita,GNP per Capita,Literacy (%),Total_tests_June20,Total_cases-June20,Climate,Birthrate,Industry,Agriculture,CVD_death_rate,median_age,aged_65_older,aged_70_older,extreme_poverty,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k,Political_stability,Physical Integrity Rights Index,Disappearance,Extrajudicial Killing,Political Imprisonment,Torture,Freedom of Religion (New),Independence of Judiciary,Inflation,Migration,Control of Corruption: Percentile Rank,Government Effectiveness: Percentile Rank,Political Stability and Absence of Violence/Terrorism: Percentile Rank,Regulatory Quality: Percentile Rank,Rule of Law: Percentile Rank,Voice and Accountability: Percentile Rank
0.236247684,206139587,487,209.588,923768,0.26,5338.454,2080,68,11913,19147,1.5,40.43,0.487,0.269,181.013,18.1,2.751,1.447,0,2.42,0.6,10.8,41.949,0,3.809524,0,0,0,0,0,1,0,11.11654486,-300000,13.46154,14.90385,4.285714,17.30769,18.26923,33.49754
0,0,0,0,120540,0,1300,0,99,68627,0,3,15.54,0.34,0.3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1.923077,5.288462,32.38095,0,4.807693,0
4.500813651,5421242,244,14.462,323802,1.74,64800.057,75990,100,140134,8692,3,11.46,0.415,0.021,114.316,39.7,16.821,10.813,0.2,5.31,19.6,20.7,0,3.6,73.80952,8,2,2,2,2,2,2,3.845490451,140000,97.59615,97.59615,90.47619,95.67308,99.51923,100
2.447802089,5106622,125,14.98,212460,0.28,37960.709,14440,75.8,410468,27670,1,36.24,0.39,0.027,266.342,30.7,2.355,1.53,0,12.61,0.5,15.6,97.4,1.6,60.95238,3,1,1,0,1,0,1,9.003928634,605000,62.5,60.09615,68.57143,64.90385,68.26923,19.70443
1.531062661,220892331,3382,255.573,803940,-2.77,5034.708,1580,45.7,470234,171666,1,29.74,0.251,0.216,423.031,23.5,4.495,2.78,4,8.35,2.8,36.7,59.607,0.6,0.4761905,0,0,0,0,0,0,0,4.00052159,-1071778,23.55769,26.92308,3.333333,27.40385,27.88461,25.61576
0,0,0,0,458,2.85,9000,12530,92,112963,0,2,18.03,0.12,0.062,0,0,0,0,0,0,0,0,0,0,44.28571,8,2,2,2,2,2,2,0.036501969,0,33.65385,52.40385,77.61905,55.76923,62.01923,87.68473
11.2404653,4314768,485,55.133,78200,-0.91,22267.037,13100,92.6,17200,24274,2,21.74,0.156,0.068,128.346,29.7,7.918,5.03,2.2,8.33,2.4,9.9,0,2.3,47.61905,7,2,2,2,1,2,1,1.510338325,31448,32.21154,51.92308,56.19048,66.34615,52.40385,68.47291
0,8947027,0,18.22,462840,0,3823.194,2410,64.6,217139,8,2,29.36,0.381,0.353,561.494,22.6,3.808,2.142,0,17.65,23.5,48.8,0,0,14.7619,6,2,2,2,0,2,2,5.51373687,-1001,17.78846,24.03846,22.85714,31.25,23.07692,48.76847
0.182263517,7132530,13,17.144,406750,-0.08,8827.01,3920,94,4633731,1336,2,29.1,0.207,0.224,199.128,26.5,6.378,3.833,1.7,8.27,5,21.6,79.602,1.3,38.57143,6,2,1,2,1,2,0,5.541297547,-82365,20.67308,34.13462,42.38095,48.55769,32.21154,49.26109
23.23194158,32971846,7660,25.129,1285220,-1.05,12236.706,5970,90.9,37315,247925,1.5,20.48,0.27,0.08,85.755,29.1,7.151,4.455,3.5,5.95,4.8,0,0,1.6,25.23809,5,2,1,1,1,1,1,3.939754649,-179540,34.61538,44.23077,37.14286,71.15385,32.69231,55.17241
1.031199864,109581085,1130,351.873,300000,-1.5,7599.188,3660,92.6,649388,28459,2,24.89,0.326,0.144,370.437,25.2,4.803,2.661,0,7.07,7.8,40.8,78.463,1,8.571428,1,1,0,0,0,1,1,2.32070851,-650000,34.13462,55.28846,12.85714,56.73077,34.13462,47.78325
3.52475473,37846605,1334,124.027,312685,-0.49,27216.445,12710,99.8,318,31316,3,9.85,0.311,0.05,227.331,41.8,16.763,10.202,0,5.91,23.3,33.1,0,6.62,53.33333,6,2,2,1,1,2,2,2.010425084,-50002,74.51923,75,65.71429,78.36539,66.82692,71.92118
14.97542295,10196707,1527,112.371,92391,3.57,27936.896,19820,93.3,446,38464,3,10.72,0.274,0.053,127.842,46.2,21.502,14.924,0.5,9.85,16.3,30,0,3.39,70.95238,7,2,2,2,1,2,2,1.36882027,-30001,80.28846,86.53846,89.52381,78.84615,85.09615,88.66995
5.138350974,2860840,147,376.232,13790,-1.46,35044.67,0,94.1,0,6111,2,12.77,0.45,0.01,108.094,38.2,15.168,9.829,0,12.9,0,0,0,0,45.23809,0,0,0,0,0,0,0,0,-70002,59.13462,47.11538,59.04762,79.32692,73.07692,64.03941
3.227978591,2881060,93,227.322,11437,16.29,116935.6,61070,82.5,0,85462,1,15.56,0.801,0.002,176.69,31.9,1.307,0.617,0,16.52,0.8,26.9,0,1.2,53.33333,6,1,2,1,2,0,1,8.212507658,200000,77.40385,74.51923,69.04762,70.67308,75.48077,14.28571
2.192786927,5518092,121,15.405,342000,-0.17,808.133,0,83.8,14448,5476,2,42.57,0.57,0.062,318.949,19,3.402,2.063,37,7.2,1.7,52.3,47.964,0,0,4,2,1,1,0,2,1,0,0,7.692307,10.09615,29.52381,7.211538,11.53846,15.27094
0,895308,0,0,2517,0,5800,0,88.9,2660,0,2,18.9,0.19,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.55769,82.69231,55.71429,85.09615,84.61539,0
7.714027085,19237682,1484,85.129,237500,-0.13,23313.199,9970,98.4,175,23400,3,10.7,0.35,0.101,370.946,43,17.85,11.69,5.7,9.74,22.9,37.1,0,6.892,34.28571,6,2,2,2,0,0,1,5.277864192,-150000,52.40385,43.26923,48.57143,67.30769,63.46154,61.57635
5.462726213,145934460,7972,8.823,17075200,1.02,24765.954,0,99.6,389659,569063,0,9.95,0.371,0.054,431.297,39.6,14.178,9.393,0.1,6.18,23.4,58.3,0,8.05,0,0,0,0,0,0,0,0,0,0,21.15385,50.96154,29.04762,31.73077,20.67308,19.21182
0.015441381,12952209,2,494.869,26338,0,1854.211,720,70.4,18969,661,3,40.37,0.229,0.401,191.375,20.3,2.974,1.642,56,4.28,4.7,21,4.617,0,32.85714,2,0,1,0,1,1,1,7.315167554,-44999,71.15385,62.01923,52.85714,59.13462,58.17308,17.24138
0,6071,0,0,413,0,2500,0,97,117474,0,0,12.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,53192,0,212.865,261,-7.11,24654.385,0,97,0,15,2,18.02,0.258,0.035,0,0,0,0,0,12.84,0,0,0,2.3,0,7,2,2,2,1,2,2,0,0,0,0,0,0,0,0
0,183629,0,293.187,616,-2.67,12951.839,0,67,0,19,2,19.68,0.2,0.07,204.62,34.9,9.721,6.405,0,11.62,0,0,87.202,1.3,0,6,2,2,2,0,2,2,0,0,0,0,0,0,0,0
0,110947,0,281.787,389,-7.64,10727.146,0,96,329,29,2,16.18,0.26,0.1,252.675,31.8,7.724,4.832,0,11.62,0,0,0,2.6,0,6,2,2,2,0,2,2,0,0,0,0,0,0,0,0
0,198410,0,0,2944,-11.7,5600,4100,99.7,104606,0,2,16.43,0.584,0.114,0,0,0,0,0,0,0,0,0,0,72.38095,7,2,2,2,1,2,2,1.24926366,-12500,75,73.55769,91.42857,49.03846,77.88461,72.9064
123.7550828,33938,42,556.667,61,10.98,56861.47,0,96,58923,696,0,10.02,0,0,0,0,0,0,0,5.64,0,0,0,3.8,44.28571,8,2,2,2,2,2,2,1.114573707,0,0,0,77.61905,0,0,87.68473
5.475426741,219161,12,212.841,1001,-2.72,3052.714,0,79.3,0,693,2,40.25,0.148,0.167,270.113,18.7,2.886,2.162,32.3,2.42,0,0,41.34,2.9,0,8,2,2,2,2,2,1,0,0,61.53846,26.44231,64.28571,18.26923,25.96154,51.72414
3.400943653,34813867,1184,15.322,1960582,-2.71,49045.411,20080,78.8,279379,150292,1,29.34,0.613,0.033,259.538,31.9,3.295,1.845,0,17.72,1.8,25.4,0,2.7,14.28571,1,0,1,0,0,0,0,6.815899824,590000,65.86539,64.90385,28.57143,53.36538,58.65385,5.91133
0.47181277,16743930,79,82.328,196190,0.2,2470.58,950,40.2,1247,5639,2,32.78,0.209,0.172,241.219,18.7,3.008,1.796,38,2.42,0.4,16.6,20.859,0,31.42857,4,2,1,1,0,2,0,2.506621513,-99996,56.73077,42.30769,42.85714,49.51923,47.59615,55.66502
3.806250952,6804596,259,80.291,88361,-1.33,14048.881,5180,93,1932455,12709,0,0,0.255,0.166,439.415,41.2,17.366,0,0,10.08,37.7,40.2,97.719,5.609,38.09524,7,2,2,2,1,1,1,2.835715452,-50000,41.82692,56.73077,49.52381,56.25,49.03846,46.30542
0,98340,0,208.354,455,-5.69,26382.287,14180,58,30525,11,2,16.03,0.304,0.032,242.648,36.2,8.606,5.586,1.1,10.55,7.1,35.7,0,3.6,58.57143,8,2,2,2,2,2,0,2.363911678,-1000,75.96154,71.15385,69.52381,47.59615,59.61538,54.18719
0.664411429,7976985,53,104.7,71740,0,1390.3,510,31.4,0,1298,2,45.76,0.31,0.49,325.721,19.1,2.538,1.285,52.2,2.42,8.8,41.3,19.275,0,32.85714,6,2,2,2,0,2,1,14.67784291,-21000,37.01923,11.53846,44.28571,15.38461,22.59615,38.91626
0.444418387,5850343,26,7915.731,693,11.53,85535.383,54530,92.5,137,41615,2,9.34,0.339,0,92.243,42.4,12.922,7.049,0,10.99,5.2,28.3,0,2.4,93.33334,8,2,2,2,2,1,1,0.870398042,298448,99.03846,100,98.57143,99.51923,97.11539,41.87192
0,42882,0,1209.088,0,0,36327.232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.512854046,5459643,28,113.128,48845,0.3,30155.152,0,0,0,1576,3,10.65,0.294,0.035,287.959,41.2,15.07,9.167,0.7,7.29,23.1,37.7,0,5.82,0,7,2,2,2,1,1,0,0,0,66.34615,75.48077,72.38095,75.96154,70.19231,76.84729
5.243076734,2078932,109,102.619,20273,1.12,31400.84,22000,99.7,404,1513,0,8.98,0.369,0.028,153.493,44.5,19.062,12.93,0,7.25,20.1,25,0,4.5,65.71429,8,2,2,2,2,2,2,1.976204636,6002,80.76923,83.17308,80,75,82.69231,79.31035
0,686878,0,0,28450,0,1700,1920,0,148500,0,2,30.01,0.11,0.42,0,0,0,0,0,0,0,0,0,0,38.57143,8,2,2,2,2,2,2,1.639432196,-12000,57.69231,13.46154,57.14286,18.75,47.11538,65.02463
0.553695258,15893219,88,23.5,637657,5.37,500,0,37.8,290365,2719,1,45.13,0.1,0.65,365.769,16.8,2.731,1.496,0,6.05,0,0,9.831,0.9,0.4761905,0,-77,-77,-77,-77,-77,-77,0,-199788,0,0.9615384,3.809524,0.9615384,0.4807692,3.448276
3.0872373,59308690,1831,46.754,1219912,-0.29,12294.876,5430,86.4,0,87715,1,18.2,0.303,0.025,200.38,27.3,5.344,3.053,18.9,5.52,8.1,33.2,43.993,2.32,24.28572,4,2,0,2,0,2,2,5.536708905,300000,57.21154,66.34615,36.19048,61.53846,50.96154,70.44335
0.546137043,51269183,280,527.967,98480,0,35938.374,0,97.9,44701,12373,3,10,0.403,0.033,85.998,43.4,13.914,8.622,0.2,6.8,6.2,40.9,0,12.27,0,4,2,1,0,1,2,2,0,0,72.11539,84.13461,65.2381,82.21154,86.05769,73.89162
0.276940776,11193729,31,0,0,0,1569.888,0,0,0,1813,0,0,0,0,280.775,19.2,3.441,2.032,0,10.43,0,0,0,0,0,2,1,0,1,0,2,1,0,150000,0.4807692,0,2.380952,2.403846,1.442308,1.477833
0,0,0,0,504782,0.99,22000,27180,97.9,65589,0,3,10.06,0.295,0.04,0,0,0,0,0,0,0,0,0,0,41.90476,5,0,2,2,1,1,2,0.954824617,200000,72.59615,79.32692,55.23809,80.28846,80.28846,82.75862
0.051370063,21413250,11,341.955,65610,-1.31,11669.077,3840,92.3,0,1950,2,15.51,0.276,0.178,197.093,34.1,10.069,5.331,0.7,10.68,0.3,27,0,3.6,30.95238,0,0,0,0,0,1,0,8.243715077,-449999,43.26923,45.19231,40.47619,47.11538,55.76923,46.79803
0,5795,0,0,242,-4.86,6900,0,99,175604,0,0,13.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.153953102,43849269,506,23.258,2505810,-0.02,4466.507,2380,61.1,0,8316,2,34.53,0.203,0.387,431.388,19.7,3.548,2.034,0,15.67,0,0,23.437,0.8,1.904762,1,1,0,0,0,0,0,32.8613567,-250001,5.769231,4.326923,5.714286,3.846154,10.57692,2.955665
1.363712298,586634,8,3.612,163270,-8.81,13767.119,6020,93,227860,293,2,18.02,0.22,0.13,258.314,29.6,6.933,4.229,0,12.54,7.4,42.9,67.779,3.1,38.57143,6,2,1,2,1,2,2,21.78381804,-4999,48.07692,25.48077,49.04762,28.84615,51.92308,58.12808
0.344778842,1160164,4,79.492,17363,0,7738.975,0,81.6,664,623,2.5,27.41,0.515,0.119,333.436,21.5,3.163,1.845,0,3.94,1.7,16.5,24.097,2.1,0,3,1,1,1,0,2,0,0,0,0,0,0,0,0,0
50.03331924,10099270,5053,24.718,449964,1.67,46949.283,52590,99,8835,56043,3,10.27,0.282,0.011,133.982,41,19.985,13.433,0.5,4.79,18.8,18.9,0,2.22,67.61905,7,2,2,2,1,2,2,2.08727487,200000,98.07692,96.15385,80.47619,97.59615,98.55769,97.53695
19.41160199,8654618,1680,214.243,41290,4.05,57410.166,80560,99,2154,31217,3,9.71,0.34,0.015,99.739,43.1,18.436,12.644,0,5.59,22.6,28.9,0,4.53,75.2381,7,2,2,2,1,1,2,0.353549558,250000,96.63461,99.51923,95.2381,96.63461,99.03846,99.01478
0.039998498,17500657,7,0,185180,0,3300,0,76.9,25555,187,1,27.76,0.23,0.249,376.264,21.7,0,2.577,0,0,0,0,70.598,1.5,0,0,0,0,0,0,0,0,0,0,1.442308,3.365385,0.952381,3.365385,0.9615384,1.970443
0.029391049,23816775,7,0,35980,0,23400,0,96.1,1234724,446,2,12.56,0.259,0.018,103.957,42.2,0,8.353,0,0,0,0,0,0,0,8,2,2,2,2,2,1,0,0,82.21154,88.46154,75.71429,89.42308,83.17308,78.81773
0.534723362,9537642,51,64.281,143100,-2.86,2896.913,990,99.4,107,5338,2,32.65,0.286,0.234,427.698,23.3,3.466,2.155,4.8,7.11,0,0,72.704,4.8,13.80952,4,2,1,1,0,0,0,4.722523248,-99999,6.25,12.01923,20,12.5,7.692307,4.926108
0.035155732,59734213,21,64.699,945087,-2.06,2683.304,910,78.2,1200000,509,0,37.71,0.172,0.432,217.288,17.7,3.108,1.874,49.1,5.75,3.3,26.7,47.953,0.7,15.2381,4,1,1,1,1,1,0,5.071620081,-199999,39.42308,21.15385,26.19048,29.32692,31.25,34.48276
0.083094582,69799978,58,135.132,514000,0,16277.671,5960,92.6,47620,3146,2,13.87,0.441,0.099,109.861,40.1,11.373,6.89,0.1,7.04,1.9,38.8,90.67,2.1,11.42857,1,1,0,0,0,1,1,2.313758962,97222,40.86538,66.82692,19.52381,59.61538,54.80769,20.19704
0,1318442,0,87.176,0,0,6570.102,1790,0,0,24,0,0,0,0,335.346,18,3.556,1.897,30.3,6.86,6.3,78.1,28.178,5.9,32.38095,0,0,0,0,0,0,0,27.39130435,-50004,38.46154,15.86539,56.66667,21.15385,10.09615,59.60591
0.157028783,8278737,13,143.366,56785,0,1429.813,610,60.9,1448010,555,2,37.01,0.204,0.395,280.033,19.4,2.839,1.525,49.2,6.15,0.9,14.2,10.475,0.7,11.42857,5,2,2,1,0,2,0,1.967629727,-9999,25.48077,12.98077,14.28571,26.92308,29.80769,27.0936
0,105697,0,0,748,0,2200,4010,98.5,144283,0,2,25.37,0.27,0.23,0,0,0,0,0,0,0,0,0,0,60,8,2,2,2,2,2,1,3.096112659,-4833,55.28846,58.65385,79.52381,37.5,64.90385,66.50246
0.571636402,1399491,8,266.886,5128,-10.83,28763.071,0,98.6,24656,123,2,12.9,0.57,0.007,228.467,36.2,10.014,5.819,0,10.97,0,0,89.443,3,0,6,2,1,2,1,2,2,0,0,44.23077,60.57692,54.76191,55.28846,50.48077,67.48769
0.423061309,11818618,50,74.228,163610,-0.57,10849.297,3500,74.2,8005589,1146,3,15.52,0.318,0.132,318.991,32.7,8.001,5.075,2,8.52,1.1,65.8,78.687,2.3,9.047619,2,2,0,0,0,0,0,5.732048654,-20000,56.25,48.55769,16.19048,35.57692,56.25,53.69458
5.815810127,84339067,4905,104.914,780580,0,25129.341,10930,86.5,325000,185245,3,16.62,0.298,0.117,171.285,31.6,8.153,5.061,0.2,12.13,14.1,41.1,0,2.81,3.809524,2,2,0,0,0,0,1,10.80867496,1525002,43.75,53.84615,10,52.40385,42.30769,25.12315
0,6031187,0,0,488100,-0.86,5800,6650,98,0,0,1,27.61,0.38,0.209,0,0,0,0,0,0,0,0,0,0,28.57143,3,1,2,0,0,0,0,9.92393885,-25001,8.173077,14.42308,45.23809,2.884615,6.25,0.9852217
0,38718,0,37.312,430,11.68,9600,0,98,490851,0,2,21.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11792,0,0,26,0,1100,4970,0,261004,0,2,22.18,0.272,0.166,0,0,0,0,0,0,0,0,0,0,72.38095,8,2,2,2,2,2,2,1.4,0,58.65385,23.07692,97.61905,30.28846,70.67308,87.68473
0,45741000,0,213.759,236040,0,1697.707,600,69.9,0,755,2,47.35,0.222,0.311,213.333,16.4,2.168,1.308,41.6,2.5,3.4,16.7,21.222,0.5,16.19048,2,1,1,0,0,1,1,5.988870003,-150000,14.42308,29.80769,21.42857,41.82692,43.26923,28.57143
2.252264664,43733759,985,77.39,603700,-0.39,7894.393,2390,99.7,120,34984,3,8.82,0.452,0.187,539.849,41.4,16.462,11.133,0.1,7.11,13.5,47.4,0,8.8,3.809524,4,2,1,1,0,2,0,22.1120578,-100000,18.26923,38.46154,6.190476,44.23077,24.03846,44.82759
3.033244358,9890400,300,112.442,82880,1.03,67293.483,39130,77.9,10270,44145,1,18.96,0.585,0.04,317.84,34,1.144,0.526,0,17.26,1.2,37.4,0,1.2,57.61905,6,2,2,1,1,0,0,6.310088273,301000,83.65385,90.38461,71.42857,79.80769,77.40385,17.73399
62.54750243,67886004,42461,272.898,244820,2.19,39753.244,40530,99,7642,301815,3,10.71,0.237,0.005,122.137,40.8,18.517,12.527,0.2,4.28,20,24.7,0,2.54,41.90476,7,2,1,2,2,2,2,1.963555889,900000,93.26923,87.98077,48.09524,96.15385,91.82692,93.59606
35.98521072,331002647,119112,35.608,9631420,3.41,54225.446,58270,97,0,2220961,3,14.14,0.204,0.01,151.089,38.3,15.413,9.732,1.2,10.79,19.1,24.6,0,2.77,44.28571,6,2,1,2,1,2,2,1.79931713,4500000,88.46154,92.30769,61.90476,92.30769,89.42308,81.28078
5.745860586,104423,6,306.48,0,0,0,0,0,0,74,0,0,0,0,273.67,42.2,18.601,10.799,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.69090058,3473727,24,19.751,176220,-0.32,20551.409,15250,98,0,853,3,13.91,0.311,0.093,160.708,35.6,14.655,10.361,0.1,6.93,14,19.9,0,2.8,70.95238,7,2,2,2,1,2,1,4.024704852,-15000,87.5,73.07692,87.61905,69.71154,73.55769,89.16256
0.056768613,33469199,19,76.134,447400,-1.72,6253.104,1980,99.3,0,6025,1,26.36,0.229,0.342,724.417,28.2,4.469,2.873,0,7.57,1.3,24.7,0,4,23.33333,3,1,2,0,0,0,0,18.96931298,-44314,12.5,33.65385,35.71429,12.01923,12.98077,6.403941
0,307150,0,0,12200,0,2900,2920,53,0,0,2,22.72,0.12,0.26,0,0,0,0,0,0,0,0,0,0,55.23809,7,2,2,2,1,2,2,2.572095219,604,50.48077,34.61538,75.2381,34.13462,64.42308,66.00985
0.105500282,28435943,30,36.253,912050,-0.04,16745.022,0,93.4,0,3591,2,18.71,0.419,0.04,204.85,29,6.614,3.915,0,6.47,0,0,0,0.8,0,3,2,0,1,0,1,0,0,0,4.807693,4.807693,9.047619,0.4807692,0,10.34483
0,97338583,0,308.127,329560,-0.45,6171.884,2170,90.3,0,349,2,16.86,0.41,0.209,245.465,32.6,7.15,4.718,2,6,1,45.9,85.847,2.6,43.33333,3,2,1,0,0,0,0,4.124919316,-200000,37.98077,53.36538,53.80952,36.53846,54.32692,9.359606
0,11246,0,0,274,0,3700,0,50,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,597330,0,0,5860,2.98,800,0,0,0,0,3,31.67,0.28,0.09,0,28.4,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.55769,20.67308,6.666667,57.21154,33.17308,23.15271
0.841548546,29825968,251,53.508,527970,0,1479.147,0,50.2,0,919,1,42.89,0.472,0.135,495.003,20.3,2.922,1.583,18.8,5.35,7.6,29.2,49.542,0.7,0,0,0,0,0,0,0,0,0,0,0.9615384,0.4807692,0,5.288462,1.923077,3.940887
0.059834782,18383956,11,22.995,752614,0,3689.251,1300,80.6,0,1430,2,41,0.29,0.22,234.499,17.7,2.48,1.542,57.5,3.94,3.1,24.7,13.938,2,38.09524,4,2,1,1,0,1,1,9.238411706,-40000,27.88461,33.17308,53.33333,35.09615,40.86538,35.96059
0.026912599,14862927,4,42.729,390580,0,1899.775,910,90.7,0,479,2,28.01,0.243,0.179,307.846,19.6,2.822,1.882,21.4,1.82,1.6,30.7,36.791,1.7,11.42857,2,1,1,0,0,0,0,3.797826043,-99998,10.09615,10.57692,20.47619,4.326923,8.173077,16.74877
